CustomerID,TotalRevenue,TotalPurchases,TotalQuantity,UniqueProducts,Country,AverageOrderValue,Recency,Frequency,Monetary,Cluster
C10143,14609.48,3,16,4,United Kingdom,4869.826666666667,31,3,14609.48,0
C10144,19516.52,2,23,6,Netherlands,9758.26,148,2,19516.52,0
C10145,7233.36,1,8,1,United Kingdom,7233.36,227,1,7233.36,2
C10146,36093.9,3,37,12,United Kingdom,12031.300000000001,7,3,36093.9,1
C10147,55598.45,5,43,14,United Kingdom,11119.689999999999,15,5,55598.45,1
C10148,15625.84,2,13,4,Germany,7812.92,30,2,15625.84,0
C10149,18511.309999999998,2,15,6,United Kingdom,9255.654999999999,27,2,18511.309999999998,0
C10150,4422.950000000001,1,8,3,United Kingdom,4422.950000000001,316,1,4422.950000000001,2
C10151,75552.3,4,64,14,Singapore,18888.075,41,4,75552.3,1
C10152,13029.59,1,9,2,India,13029.59,240,1,13029.59,2
C10153,8418.74,1,16,4,United Kingdom,8418.74,170,1,8418.74,2
C10154,3245.17,2,10,4,United Kingdom,1622.585,161,2,3245.17,2
C10155,376.79,1,1,1,United Kingdom,376.79,241,1,376.79,2
C10157,19045.78,2,26,6,United Kingdom,9522.89,11,2,19045.78,0
C10159,23943.16,2,20,5,United Kingdom,11971.58,298,2,23943.16,2
C10163,10716.94,2,13,6,United Kingdom,5358.47,61,2,10716.94,0
C10167,3081.57,1,3,1,United Kingdom,3081.57,15,1,3081.57,0
C10168,19389.51,2,21,8,India,9694.755,106,2,19389.51,0
C10169,8071.469999999999,1,6,2,United Kingdom,8071.469999999999,85,1,8071.469999999999,0
C10170,6307.09,2,8,4,United Kingdom,3153.545,292,2,6307.09,2
C10171,7636.52,2,9,4,Portugal,3818.26,120,2,7636.52,0
C10173,12493.37,4,20,8,United Kingdom,3123.3425,28,4,12493.37,1
C10174,5751.19,1,12,6,France,5751.19,38,1,5751.19,0
C10175,8823.42,1,8,4,France,8823.42,305,1,8823.42,2
C10176,12657.79,2,16,7,United Kingdom,6328.895,280,2,12657.79,2
C10177,12046.929999999998,4,14,8,United Kingdom,3011.7324999999996,11,4,12046.929999999998,1
C10178,443.0,1,1,1,United Kingdom,443.0,3,1,443.0,0
C10179,3938.58,1,6,3,United Kingdom,3938.58,274,1,3938.58,2
C10180,31548.2,5,78,11,United Kingdom,6309.64,71,5,31548.2,1
C10181,5244.82,3,13,4,Germany,1748.2733333333333,16,3,5244.82,0
C10182,9261.04,3,19,7,India,3087.013333333334,35,3,9261.04,0
C10184,1387.52,2,5,3,United Kingdom,693.76,82,2,1387.52,0
C10185,22008.440000000002,2,23,9,United Kingdom,11004.220000000001,103,2,22008.440000000002,0
C10186,3857.17,1,3,2,United Kingdom,3857.17,94,1,3857.17,0
C10187,19584.760000000002,1,16,5,Netherlands,19584.760000000002,221,1,19584.760000000002,2
C10189,5657.96,2,16,5,United Kingdom,2828.98,198,2,5657.96,2
C10190,1535.6,1,5,1,United Kingdom,1535.6,72,1,1535.6,0
C10191,2783.79,2,3,2,United Kingdom,1391.895,105,2,2783.79,0
C10193,13843.78,1,14,5,United Kingdom,13843.78,125,1,13843.78,0
C10195,32734.32,3,37,10,United Kingdom,10911.44,46,3,32734.32,1
C10197,923.44,1,1,1,United Kingdom,923.44,231,1,923.44,2
C10198,2389.98,1,3,2,United Kingdom,2389.98,175,1,2389.98,2
C10199,23013.53,2,31,9,Singapore,11506.765,236,2,23013.53,2
C10200,18445.02,2,22,7,EIRE,9222.51,111,2,18445.02,0
C10201,8557.65,2,15,4,Australia,4278.825,192,2,8557.65,2
C10202,10506.64,1,12,5,Spain,10506.64,132,1,10506.64,0
C10204,29003.38,4,58,13,United Kingdom,7250.845,225,4,29003.38,1
C10205,39422.36,5,31,10,United Kingdom,7884.472,5,5,39422.36,1
C10206,17811.54,1,14,8,United Kingdom,17811.54,96,1,17811.54,0
C10207,5613.77,2,11,2,United Kingdom,2806.885,37,2,5613.77,0
C10208,5442.9,2,7,4,United Kingdom,2721.45,99,2,5442.9,0
C10211,20348.199999999997,1,22,3,United Kingdom,20348.199999999997,42,1,20348.199999999997,0
C10212,15503.91,2,24,3,France,7751.955,50,2,15503.91,0
C10213,2205.75,1,5,2,United Kingdom,2205.75,116,1,2205.75,0
C10214,38228.97,2,25,4,United Kingdom,19114.485,44,2,38228.97,1
C10215,8746.57,1,9,4,Australia,8746.57,126,1,8746.57,0
C10218,18165.600000000002,1,15,2,Germany,18165.600000000002,87,1,18165.600000000002,0
C10219,1164.68,1,1,1,United Kingdom,1164.68,277,1,1164.68,2
C10220,18341.97,3,26,9,United Kingdom,6113.990000000001,170,3,18341.97,1
C10221,1149.56,1,4,1,Australia,1149.56,39,1,1149.56,0
C10222,5613.89,4,8,4,United Kingdom,1403.4725,6,4,5613.89,0
C10223,835.54,1,1,1,United Kingdom,835.54,297,1,835.54,2
C10224,23057.61,3,31,8,Germany,7685.87,69,3,23057.61,1
C10225,15509.28,1,12,1,United Kingdom,15509.28,107,1,15509.28,0
C10226,3520.93,1,10,5,India,3520.93,143,1,3520.93,2
C10227,12191.85,2,19,5,United Kingdom,6095.925,158,2,12191.85,2
C10228,9557.48,2,14,6,EIRE,4778.74,218,2,9557.48,2
C10229,1477.06,1,4,2,United Kingdom,1477.06,29,1,1477.06,0
C10231,21691.38,1,21,2,United Kingdom,21691.38,284,1,21691.38,2
C10232,5511.09,2,10,5,United Kingdom,2755.545,181,2,5511.09,2
C10234,28097.69,3,27,7,India,9365.896666666666,201,3,28097.69,1
C10235,17401.55,2,30,6,United Kingdom,8700.775,37,2,17401.55,0
C10236,5509.54,1,7,3,United Kingdom,5509.54,57,1,5509.54,0
C10237,44009.159999999996,3,33,9,Netherlands,14669.72,25,3,44009.159999999996,1
C10238,13454.48,3,18,7,United Kingdom,4484.826666666667,110,3,13454.48,0
C10240,28266.57,4,35,8,India,7066.6425,1,4,28266.57,1
C10241,929.21,1,2,2,United Kingdom,929.21,298,1,929.21,2
C10242,5875.1,1,17,3,India,5875.1,146,1,5875.1,2
C10243,16139.220000000001,2,12,2,United Kingdom,8069.610000000001,107,2,16139.220000000001,0
C10244,20334.0,2,14,5,Portugal,10167.0,170,2,20334.0,2
C10245,13951.369999999999,2,19,7,United Kingdom,6975.6849999999995,68,2,13951.369999999999,0
C10247,7559.08,2,17,4,United Kingdom,3779.54,32,2,7559.08,0
C10248,79880.85,2,64,6,United Kingdom,39940.425,86,2,79880.85,1
C10249,10023.76,4,22,7,India,2505.94,47,4,10023.76,1
C10250,9053.52,1,9,3,United Kingdom,9053.52,215,1,9053.52,2
C10251,9444.32,1,7,4,United Kingdom,9444.32,10,1,9444.32,0
C10253,851.57,1,1,1,United Kingdom,851.57,135,1,851.57,2
C10254,3204.58,1,8,4,United Kingdom,3204.58,90,1,3204.58,0
C10255,13475.36,3,21,6,Singapore,4491.786666666667,76,3,13475.36,0
C10256,5844.3099999999995,2,15,6,Singapore,2922.1549999999997,314,2,5844.3099999999995,2
C10258,18889.28,3,18,4,United Kingdom,6296.426666666666,61,3,18889.28,1
C10259,2159.0,1,2,1,United Kingdom,2159.0,299,1,2159.0,2
C10260,4310.13,1,7,3,Portugal,4310.13,31,1,4310.13,0
C10261,9931.33,3,22,6,Netherlands,3310.443333333333,79,3,9931.33,0
C10262,42550.77,5,52,13,Netherlands,8510.153999999999,102,5,42550.77,1
C10264,3510.63,1,4,2,United Kingdom,3510.63,293,1,3510.63,2
C10265,3734.69,1,3,2,EIRE,3734.69,137,1,3734.69,2
C10266,17676.51,3,27,9,India,5892.169999999999,110,3,17676.51,1
C10268,29904.79,3,35,6,Canada,9968.263333333334,42,3,29904.79,1
C10269,21113.43,2,27,5,India,10556.715,15,2,21113.43,0
C10270,8311.94,2,12,5,United Kingdom,4155.97,91,2,8311.94,0
C10271,1734.65,1,5,2,France,1734.65,40,1,1734.65,0
C10273,11482.859999999999,2,10,3,India,5741.429999999999,120,2,11482.859999999999,0
C10275,29221.98,1,41,8,United Kingdom,29221.98,289,1,29221.98,2
C10276,7134.7699999999995,1,15,4,United Kingdom,7134.7699999999995,237,1,7134.7699999999995,2
C10277,3237.4300000000003,1,3,2,United Kingdom,3237.4300000000003,115,1,3237.4300000000003,0
C10278,3893.95,2,9,3,United Kingdom,1946.975,79,2,3893.95,0
C10279,3714.16,2,10,4,United Kingdom,1857.08,212,2,3714.16,2
C10280,19932.81,4,27,9,India,4983.2025,38,4,19932.81,1
C10281,12085.34,3,25,11,Germany,4028.4466666666667,284,3,12085.34,2
C10282,11544.34,1,11,5,United Kingdom,11544.34,136,1,11544.34,0
C10283,1472.83,1,3,3,India,1472.83,285,1,1472.83,2
C10284,9184.32,1,14,6,United Kingdom,9184.32,198,1,9184.32,2
C10285,10454.03,2,11,7,United Kingdom,5227.015,19,2,10454.03,0
C10286,15401.88,3,34,10,Spain,5133.96,84,3,15401.88,0
C10287,13356.83,1,9,2,EIRE,13356.83,118,1,13356.83,0
C10288,45549.990000000005,2,56,11,United Kingdom,22774.995000000003,80,2,45549.990000000005,1
C10289,32308.660000000003,3,34,10,United Kingdom,10769.553333333335,184,3,32308.660000000003,1
C10291,14005.859999999999,2,21,6,United Kingdom,7002.929999999999,26,2,14005.859999999999,0
C10292,46169.9,4,40,12,France,11542.475,248,4,46169.9,1
C10293,4214.68,1,10,5,India,4214.68,68,1,4214.68,0
C10296,15708.57,3,33,10,United Kingdom,5236.19,30,3,15708.57,0
C10297,8138.740000000001,1,8,4,United Kingdom,8138.740000000001,199,1,8138.740000000001,2
C10299,1739.44,1,4,2,United Kingdom,1739.44,119,1,1739.44,0
C10301,5390.87,2,20,6,Spain,2695.435,167,2,5390.87,2
C10303,17091.07,3,19,9,EIRE,5697.0233333333335,143,3,17091.07,1
C10304,1853.98,1,6,2,India,1853.98,154,1,1853.98,2
C10305,12356.95,2,18,10,United Kingdom,6178.475,13,2,12356.95,0
C10306,36248.33,3,44,11,United Kingdom,12082.776666666667,99,3,36248.33,1
C10307,21837.879999999997,2,27,9,United Kingdom,10918.939999999999,28,2,21837.879999999997,0
C10309,4310.2699999999995,2,7,4,France,2155.1349999999998,269,2,4310.2699999999995,2
C10310,4883.06,1,3,2,Netherlands,4883.06,191,1,4883.06,2
C10311,7170.49,2,17,6,Netherlands,3585.245,2,2,7170.49,0
C10312,21743.55,2,21,8,United Kingdom,10871.775,19,2,21743.55,0
C10313,3206.66,1,7,4,United Kingdom,3206.66,2,1,3206.66,0
C10314,9400.18,3,19,8,United Kingdom,3133.3933333333334,24,3,9400.18,0
C10315,11085.28,2,12,7,France,5542.64,104,2,11085.28,0
C10316,6482.29,3,7,3,Netherlands,2160.7633333333333,2,3,6482.29,0
C10318,10848.21,2,16,5,India,5424.105,68,2,10848.21,0
C10319,12500.93,2,20,6,United Kingdom,6250.465,88,2,12500.93,0
C10320,8666.9,2,7,4,Spain,4333.45,18,2,8666.9,0
C10321,5850.08,1,8,3,Netherlands,5850.08,130,1,5850.08,0
C10323,5743.25,2,7,2,France,2871.625,5,2,5743.25,0
C10324,1722.4699999999998,1,3,2,Netherlands,1722.4699999999998,32,1,1722.4699999999998,0
C10326,12759.439999999999,2,12,4,Germany,6379.719999999999,62,2,12759.439999999999,0
C10327,32933.450000000004,2,75,4,United Kingdom,16466.725000000002,29,2,32933.450000000004,1
C10328,4305.7,2,6,3,Portugal,2152.85,90,2,4305.7,0
C10330,29557.33,2,44,6,Netherlands,14778.665,4,2,29557.33,1
C10331,19510.489999999998,2,39,9,France,9755.244999999999,262,2,19510.489999999998,2
C10332,11069.29,3,17,6,United Kingdom,3689.763333333334,33,3,11069.29,0
C10333,16511.56,3,26,6,France,5503.8533333333335,96,3,16511.56,1
C10336,4321.59,1,7,2,EIRE,4321.59,133,1,4321.59,0
C10337,4846.74,1,5,3,United Kingdom,4846.74,263,1,4846.74,2
C10338,8733.24,2,12,5,France,4366.62,17,2,8733.24,0
C10339,30611.48,2,35,11,United Kingdom,15305.74,212,2,30611.48,2
C10340,19954.26,2,18,6,United Kingdom,9977.13,103,2,19954.26,0
C10341,1461.93,1,3,1,France,1461.93,73,1,1461.93,0
C10342,17778.86,2,24,9,United Kingdom,8889.43,53,2,17778.86,0
C10346,1692.5700000000002,1,3,1,Netherlands,1692.5700000000002,316,1,1692.5700000000002,2
C10347,9251.99,3,15,7,Australia,3083.9966666666664,127,3,9251.99,0
C10348,5432.18,1,2,1,United Kingdom,5432.18,215,1,5432.18,2
C10349,455.98,1,2,1,India,455.98,248,1,455.98,2
C10350,11488.82,2,15,5,United Kingdom,5744.41,55,2,11488.82,0
C10352,9468.44,2,18,7,United Kingdom,4734.22,115,2,9468.44,0
C10354,13940.76,2,27,6,United Kingdom,6970.38,33,2,13940.76,0
C10355,18045.45,2,19,5,Canada,9022.725,181,2,18045.45,2
C10356,27577.940000000002,2,17,5,United Kingdom,13788.970000000001,144,2,27577.940000000002,1
C10357,8651.6,2,17,6,Australia,4325.8,109,2,8651.6,0
C10358,1310.83,1,2,2,United Kingdom,1310.83,189,1,1310.83,2
C10359,7503.71,1,9,4,United Kingdom,7503.71,178,1,7503.71,2
C10360,3640.2200000000003,3,9,5,United Kingdom,1213.4066666666668,7,3,3640.2200000000003,0
C10361,7920.9400000000005,1,14,5,Germany,7920.9400000000005,191,1,7920.9400000000005,2
C10362,39581.62,5,48,15,United Kingdom,7916.3240000000005,18,5,39581.62,1
C10363,5740.780000000001,1,14,4,India,5740.780000000001,274,1,5740.780000000001,2
C10364,1019.29,1,4,2,United Kingdom,1019.29,255,1,1019.29,2
C10366,10803.82,1,12,4,United Kingdom,10803.82,289,1,10803.82,2
C10367,5279.21,1,7,3,United Kingdom,5279.21,69,1,5279.21,0
C10368,35623.35,5,87,9,India,7124.67,42,5,35623.35,1
C10369,1373.3500000000001,1,5,2,United Kingdom,1373.3500000000001,136,1,1373.3500000000001,2
C10370,4030.11,1,9,3,Spain,4030.11,153,1,4030.11,2
C10371,9236.33,2,16,6,United Kingdom,4618.165,305,2,9236.33,2
C10372,5179.77,1,6,2,Germany,5179.77,282,1,5179.77,2
C10373,5072.43,2,7,3,Germany,2536.215,66,2,5072.43,0
C10374,8284.79,2,17,3,India,4142.395,170,2,8284.79,2
C10375,13597.82,2,19,7,United Kingdom,6798.91,77,2,13597.82,0
C10376,6863.82,1,12,6,United Kingdom,6863.82,127,1,6863.82,0
C10377,18916.7,3,32,9,India,6305.566666666667,148,3,18916.7,1
C10378,9415.220000000001,2,13,6,United Kingdom,4707.610000000001,140,2,9415.220000000001,0
C10379,45014.229999999996,4,36,12,United Kingdom,11253.557499999999,59,4,45014.229999999996,1
C10380,13747.86,3,14,7,EIRE,4582.62,11,3,13747.86,0
C10382,271.04,1,1,1,United Kingdom,271.04,301,1,271.04,2
C10383,55774.29,2,51,10,United Kingdom,27887.145,21,2,55774.29,1
C10384,3778.57,2,5,2,United Kingdom,1889.285,21,2,3778.57,0
C10385,17919.420000000002,4,18,8,United Kingdom,4479.8550000000005,37,4,17919.420000000002,1
C10386,20323.98,3,26,4,United Kingdom,6774.66,24,3,20323.98,1
C10387,6753.3,1,9,5,United Kingdom,6753.3,119,1,6753.3,0
C10388,7751.0599999999995,1,14,2,United Kingdom,7751.0599999999995,292,1,7751.0599999999995,2
C10390,3886.65,1,5,1,India,3886.65,159,1,3886.65,2
C10391,59477.060000000005,2,41,9,Spain,29738.530000000002,126,2,59477.060000000005,1
C10393,10952.32,2,14,5,United Kingdom,5476.16,182,2,10952.32,2
C10394,11515.34,1,8,2,United Kingdom,11515.34,70,1,11515.34,0
C10395,704.8299999999999,1,2,2,United Kingdom,704.8299999999999,40,1,704.8299999999999,0
C10396,5255.64,1,6,1,United Kingdom,5255.64,328,1,5255.64,2
C10397,4347.0,1,12,1,United Kingdom,4347.0,167,1,4347.0,2
C10398,7686.5,1,10,1,United Kingdom,7686.5,164,1,7686.5,2
C10399,26212.26,5,38,10,India,5242.451999999999,110,5,26212.26,1
C10400,2664.31,1,8,3,United Kingdom,2664.31,230,1,2664.31,2
C10401,5131.22,1,5,2,United Kingdom,5131.22,101,1,5131.22,0
C10402,5864.200000000001,2,14,6,United Kingdom,2932.1000000000004,234,2,5864.200000000001,2
C10403,24679.97,5,39,8,United Kingdom,4935.994000000001,93,5,24679.97,1
C10404,51588.92,5,75,15,Spain,10317.784,61,5,51588.92,1
C10406,2822.84,1,4,2,United Kingdom,2822.84,15,1,2822.84,0
C10407,25509.71,5,24,12,United Kingdom,5101.942,81,5,25509.71,1
C10409,7781.049999999999,1,13,5,India,7781.049999999999,294,1,7781.049999999999,2
C10410,6449.69,1,5,2,United Kingdom,6449.69,229,1,6449.69,2
C10411,13261.78,1,18,5,France,13261.78,63,1,13261.78,0
C10412,43513.82,5,40,9,Germany,8702.764,90,5,43513.82,1
C10413,22026.28,4,21,7,India,5506.57,7,4,22026.28,1
C10416,34106.08,5,49,14,United Kingdom,6821.216,30,5,34106.08,1
C10417,5757.07,2,12,3,United Kingdom,2878.535,51,2,5757.07,0
C10418,15989.53,2,31,7,United Kingdom,7994.765,147,2,15989.53,0
C10419,28844.24,4,35,9,EIRE,7211.06,73,4,28844.24,1
C10420,6890.21,1,11,2,United Kingdom,6890.21,234,1,6890.21,2
C10421,8080.17,1,9,3,United Kingdom,8080.17,191,1,8080.17,2
C10422,20290.09,3,29,8,India,6763.363333333334,42,3,20290.09,1
C10423,8149.86,3,14,5,United Kingdom,2716.62,234,3,8149.86,2
C10424,11861.48,2,8,3,India,5930.74,194,2,11861.48,2
C10425,2193.06,1,3,1,United Kingdom,2193.06,47,1,2193.06,0
C10426,5443.17,2,4,4,United Kingdom,2721.585,79,2,5443.17,0
C10428,1335.7,1,4,2,United Kingdom,1335.7,235,1,1335.7,2
C10429,2981.63,2,7,3,Germany,1490.815,26,2,2981.63,0
C10430,2529.79,2,6,3,France,1264.895,83,2,2529.79,0
C10431,1401.3899999999999,1,6,2,United Kingdom,1401.3899999999999,280,1,1401.3899999999999,2
C10432,2653.7200000000003,1,4,2,United Kingdom,2653.7200000000003,239,1,2653.7200000000003,2
C10433,3511.71,2,3,2,United Kingdom,1755.855,131,2,3511.71,0
C10435,28948.01,3,40,7,United Kingdom,9649.336666666666,70,3,28948.01,1
C10436,2705.15,1,9,2,United Kingdom,2705.15,115,1,2705.15,0
C10437,23879.510000000002,3,75,11,United Kingdom,7959.836666666667,264,3,23879.510000000002,2
C10438,5964.57,3,11,4,EIRE,1988.1899999999998,50,3,5964.57,0
